gene_name,QC/EX light/dark,value,stdev
JL701 pRS316 QC,Light,65.16666666666667,15.320683187551829
JL701 pRS316 QC,Dark,62.53333333333334,7.292004754066839
JL701 pRS316 EX,Light,185.66666666666666,55.85934717365274
JL701 pRS316 EX,Dark,165.18333333333334,117.78319772644427
SC022 pRS316 QC,Light,51.199999999999996,27.67815022720991
SC022 pRS316 QC,Dark,58.86666666666667,4.728988616325197
SC022 pRS316 EX,Light,101.39999999999999,11.47519063022484
SC022 pRS316 EX,Dark,98.16666666666667,23.528351691806492
SC023 pRS316 QC,Light,42.13333333333333,24.17774458739552
SC023 pRS316 QC,Dark,63.833333333333336,9.194744875924147
SC023 pRS316 EX,Light,94.60000000000001,16.146516652207065
SC023 pRS316 EX,Dark,96.89999999999999,16.615354344701775
SC024 pRS316 QC,Light,36.693333333333335,29.98019568537426
SC024 pRS316 QC,Dark,54.800000000000004,7.712976079309465
SC024 pRS316 EX,Light,108.53333333333335,21.804892417375818
SC024 pRS316 EX,Dark,91.46666666666665,18.49927926523986
SC025 pRS316 QC,Light,98.93333333333334,63.44456898217005
SC025 pRS316 QC,Dark,108.46666666666665,99.2505079751904
SC025 pRS316 EX,Light,110.26666666666667,45.027806223858306
SC025 pRS316 EX,Dark,99.66666666666667,15.307950004273378
SC026 pRS316 QC,Light,72.83333333333333,8.5143016938169
SC026 pRS316 QC,Dark,66.60000000000001,8.872992730753248
SC026 pRS316 EX,Light,92.13333333333333,36.46400051192043
SC026 pRS316 EX,Dark,80.06666666666666,4.9338963642676275
SC027 pRS316 QC,Light,59.43333333333334,6.73226064062684
SC027 pRS316 QC,Dark,52.23333333333333,17.261904105090295
SC027 pRS316 EX,Light,108.23333333333333,17.845540993013724
SC027 pRS316 EX,Dark,117.66666666666667,14.46835627614047
SC028 pRS316 QC,Light,61.5,15.876712506057414
SC028 pRS316 QC,Dark,58.166666666666664,18.208331426391968
SC028 pRS316 EX,Light,110.26666666666667,63.264629401691224
SC028 pRS316 EX,Dark,129.33333333333334,19.73153144926499
SC029 pRS316 QC,Light,67.10000000000001,27.98981957783937
SC029 pRS316 QC,Dark,54.833333333333336,20.372121473556295
SC029 pRS316 EX,Light,127.7,70.94695201345861
SC029 pRS316 EX,Dark,126.33333333333333,16.258331197676267
SC030 pRS316 QC,Light,76.60000000000001,6.296030495478872
SC030 pRS316 QC,Dark,34.6,11.435471131527551
SC030 pRS316 EX,Light,92.65333333333332,77.20622082017312
SC030 pRS316 EX,Dark,99.86666666666667,9.770022176706325
SC031 pRS316 QC,Light,97.0,4.050925820105816
SC031 pRS316 QC,Dark,66.83333333333333,17.614293438379335
SC031 pRS316 EX,Light,83.3,96.5218628083814
SC031 pRS316 EX,Dark,104.63333333333333,22.683106783095948
